CommandType     Name                                               Version    Source     
-----------     ----                                               -------    ------     
Alias           Add-AppPackage                                     2.0.1.0    Appx       
Alias           Add-AppPackageVolume                               2.0.1.0    Appx       
Alias           Add-AppProvisionedPackage                          3.0        Dism       
Alias           Add-ProvisionedAppPackage                          3.0        Dism       
Alias           Add-ProvisionedAppxPackage                         3.0        Dism       
Alias           Add-ProvisioningPackage                            3.0        Provisio...
Alias           Add-TrustedProvisioningCertificate                 3.0        Provisio...
Alias           Apply-WindowsUnattend                              3.0        Dism       
Alias           Disable-PhysicalDiskIndication                     2.0.0.0    Storage    
Alias           Disable-StorageDiagnosticLog                       2.0.0.0    Storage    
Alias           Dismount-AppPackageVolume                          2.0.1.0    Appx       
Alias           Enable-PhysicalDiskIndication                      2.0.0.0    Storage    
Alias           Enable-StorageDiagnosticLog                        2.0.0.0    Storage    
Alias           Flush-Volume                                       2.0.0.0    Storage    
Alias           Get-AppPackage                                     2.0.1.0    Appx       
Alias           Get-AppPackageDefaultVolume                        2.0.1.0    Appx       
Alias           Get-AppPackageLastError                            2.0.1.0    Appx       
Alias           Get-AppPackageLog                                  2.0.1.0    Appx       
Alias           Get-AppPackageManifest                             2.0.1.0    Appx       
Alias           Get-AppPackageVolume                               2.0.1.0    Appx       
Alias           Get-AppProvisionedPackage                          3.0        Dism       
Alias           Get-DiskSNV                                        2.0.0.0    Storage    
Alias           Get-PhysicalDiskSNV                                2.0.0.0    Storage    
Alias           Get-ProvisionedAppPackage                          3.0        Dism       
Alias           Get-ProvisionedAppxPackage                         3.0        Dism       
Alias           Get-StorageEnclosureSNV                            2.0.0.0    Storage    
Alias           Initialize-Volume                                  2.0.0.0    Storage    
Alias           Mount-AppPackageVolume                             2.0.1.0    Appx       
Alias           Move-AppPackage                                    2.0.1.0    Appx       
Alias           Move-SmbClient                                     2.0.0.0    SmbWitness 
Alias           Optimize-AppProvisionedPackages                    3.0        Dism       
Alias           Optimize-ProvisionedAppPackages                    3.0        Dism       
Alias           Optimize-ProvisionedAppxPackages                   3.0        Dism       
Alias           Remove-AppPackage                                  2.0.1.0    Appx       
Alias           Remove-AppPackageVolume                            2.0.1.0    Appx       
Alias           Remove-AppProvisionedPackage                       3.0        Dism       
Alias           Remove-EtwTraceSession                             1.0.0.0    EventTra...
Alias           Remove-ProvisionedAppPackage                       3.0        Dism       
Alias           Remove-ProvisionedAppxPackage                      3.0        Dism       
Alias           Remove-ProvisioningPackage                         3.0        Provisio...
Alias           Remove-TrustedProvisioningCertificate              3.0        Provisio...
Alias           Set-AppPackageDefaultVolume                        2.0.1.0    Appx       
Alias           Set-AppPackageProvisionedDataFile                  3.0        Dism       
Alias           Set-AutologgerConfig                               1.0.0.0    EventTra...
Alias           Set-EtwTraceSession                                1.0.0.0    EventTra...
Alias           Set-ProvisionedAppPackageDataFile                  3.0        Dism       
Alias           Set-ProvisionedAppXDataFile                        3.0        Dism       
Alias           Write-FileSystemCache                              2.0.0.0    Storage    
Function        A:                                                                       
Function        Add-BitLockerKeyProtector                          1.0.0.0    BitLocker  
Function        Add-DnsClientNrptRule                              1.0.0.0    DnsClient  
Function        Add-DtcClusterTMMapping                            1.0.0.0    MsDtc      
Function        Add-EtwTraceProvider                               1.0.0.0    EventTra...
Function        Add-InitiatorIdToMaskingSet                        2.0.0.0    Storage    
Function        Add-MpPreference                                   1.0        Defender   
Function        Add-NetEventNetworkAdapter                         1.0.0.0    NetEvent...
Function        Add-NetEventPacketCaptureProvider                  1.0.0.0    NetEvent...
Function        Add-NetEventProvider                               1.0.0.0    NetEvent...
Function        Add-NetEventVFPProvider                            1.0.0.0    NetEvent...
Function        Add-NetEventVmNetworkAdapter                       1.0.0.0    NetEvent...
Function        Add-NetEventVmSwitch                               1.0.0.0    NetEvent...
Function        Add-NetEventVmSwitchProvider                       1.0.0.0    NetEvent...
Function        Add-NetEventWFPCaptureProvider                     1.0.0.0    NetEvent...
Function        Add-NetIPHttpsCertBinding                          1.0.0.0    NetworkT...
Function        Add-NetLbfoTeamMember                              2.0.0.0    NetLbfo    
Function        Add-NetLbfoTeamNic                                 2.0.0.0    NetLbfo    
Function        Add-NetNatExternalAddress                          1.0.0.0    NetNat     
Function        Add-NetNatStaticMapping                            1.0.0.0    NetNat     
Function        Add-NetSwitchTeamMember                            1.0.0.0    NetSwitc...
Function        Add-OdbcDsn                                        1.0.0.0    Wdac       
Function        Add-PartitionAccessPath                            2.0.0.0    Storage    
Function        Add-PhysicalDisk                                   2.0.0.0    Storage    
Function        Add-Printer                                        1.1        PrintMan...
Function        Add-PrinterDriver                                  1.1        PrintMan...
Function        Add-PrinterPort                                    1.1        PrintMan...
Function        Add-StorageFaultDomain                             2.0.0.0    Storage    
Function        Add-TargetPortToMaskingSet                         2.0.0.0    Storage    
Function        Add-VirtualDiskToMaskingSet                        2.0.0.0    Storage    
Function        Add-VpnConnection                                  2.0.0.0    VpnClient  
Function        Add-VpnConnectionRoute                             2.0.0.0    VpnClient  
Function        Add-VpnConnectionTriggerApplication                2.0.0.0    VpnClient  
Function        Add-VpnConnectionTriggerDnsConfiguration           2.0.0.0    VpnClient  
Function        Add-VpnConnectionTriggerTrustedNetwork             2.0.0.0    VpnClient  
Function        AfterAll                                           3.4.0      Pester     
Function        AfterEach                                          3.4.0      Pester     
Function        Assert-MockCalled                                  3.4.0      Pester     
Function        Assert-VerifiableMocks                             3.4.0      Pester     
Function        B:                                                                       
Function        Backup-BitLockerKeyProtector                       1.0.0.0    BitLocker  
Function        BackupToAAD-BitLockerKeyProtector                  1.0.0.0    BitLocker  
Function        BeforeAll                                          3.4.0      Pester     
Function        BeforeEach                                         3.4.0      Pester     
Function        Block-FileShareAccess                              2.0.0.0    Storage    
Function        Block-SmbShareAccess                               2.0.0.0    SmbShare   
Function        C:                                                                       
Function        cd..                                                                     
Function        cd\                                                                      
Function        Clear-BitLockerAutoUnlock                          1.0.0.0    BitLocker  
Function        Clear-Disk                                         2.0.0.0    Storage    
Function        Clear-DnsClientCache                               1.0.0.0    DnsClient  
Function        Clear-FileStorageTier                              2.0.0.0    Storage    
Function        Clear-Host                                                               
Function        Clear-PcsvDeviceLog                                1.0.0.0    PcsvDevice 
Function        Clear-StorageBusDisk                               1.0.0.0    StorageB...
Function        Clear-StorageDiagnosticInfo                        2.0.0.0    Storage    
Function        Close-SmbOpenFile                                  2.0.0.0    SmbShare   
Function        Close-SmbSession                                   2.0.0.0    SmbShare   
Function        Compress-Archive                                   1.0.1.0    Microsof...
Function        Configuration                                      1.1        PSDesire...
Function        Connect-IscsiTarget                                1.0.0.0    iSCSI      
Function        Connect-VirtualDisk                                2.0.0.0    Storage    
Function        Context                                            3.4.0      Pester     
Function        ConvertFrom-SddlString                             3.1.0.0    Microsof...
Function        Copy-NetFirewallRule                               2.0.0.0    NetSecurity
Function        Copy-NetIPsecMainModeCryptoSet                     2.0.0.0    NetSecurity
Function        Copy-NetIPsecMainModeRule                          2.0.0.0    NetSecurity
Function        Copy-NetIPsecPhase1AuthSet                         2.0.0.0    NetSecurity
Function        Copy-NetIPsecPhase2AuthSet                         2.0.0.0    NetSecurity
Function        Copy-NetIPsecQuickModeCryptoSet                    2.0.0.0    NetSecurity
Function        Copy-NetIPsecRule                                  2.0.0.0    NetSecurity
Function        D:                                                                       
Function        Debug-FileShare                                    2.0.0.0    Storage    
Function        Debug-MMAppPrelaunch                               1.0        MMAgent    
Function        Debug-StorageSubSystem                             2.0.0.0    Storage    
Function        Debug-Volume                                       2.0.0.0    Storage    
Function        Describe                                           3.4.0      Pester     
Function        Disable-BitLocker                                  1.0.0.0    BitLocker  
Function        Disable-BitLockerAutoUnlock                        1.0.0.0    BitLocker  
Function        Disable-DAManualEntryPointSelection                1.0.0.0    DirectAc...
Function        Disable-DscDebug                                   1.1        PSDesire...
Function        Disable-MMAgent                                    1.0        MMAgent    
Function        Disable-NetAdapter                                 2.0.0.0    NetAdapter 
Function        Disable-NetAdapterBinding                          2.0.0.0    NetAdapter 
Function        Disable-NetAdapterChecksumOffload                  2.0.0.0    NetAdapter 
Function        Disable-NetAdapterEncapsulatedPacketTaskOffload    2.0.0.0    NetAdapter 
Function        Disable-NetAdapterIPsecOffload                     2.0.0.0    NetAdapter 
Function        Disable-NetAdapterLso                              2.0.0.0    NetAdapter 
Function        Disable-NetAdapterPacketDirect                     2.0.0.0    NetAdapter 
Function        Disable-NetAdapterPowerManagement                  2.0.0.0    NetAdapter 
Function        Disable-NetAdapterQos                              2.0.0.0    NetAdapter 
Function        Disable-NetAdapterRdma                             2.0.0.0    NetAdapter 
Function        Disable-NetAdapterRsc                              2.0.0.0    NetAdapter 
Function        Disable-NetAdapterRss                              2.0.0.0    NetAdapter 
Function        Disable-NetAdapterSriov                            2.0.0.0    NetAdapter 
Function        Disable-NetAdapterVmq                              2.0.0.0    NetAdapter 
Function        Disable-NetDnsTransitionConfiguration              1.0.0.0    NetworkT...
Function        Disable-NetFirewallRule                            2.0.0.0    NetSecurity
Function        Disable-NetIPHttpsProfile                          1.0.0.0    NetworkT...
Function        Disable-NetIPsecMainModeRule                       2.0.0.0    NetSecurity
Function        Disable-NetIPsecRule                               2.0.0.0    NetSecurity
Function        Disable-NetNatTransitionConfiguration              1.0.0.0    NetworkT...
Function        Disable-NetworkSwitchEthernetPort                  1.0.0.0    NetworkS...
Function        Disable-NetworkSwitchFeature                       1.0.0.0    NetworkS...
Function        Disable-NetworkSwitchVlan                          1.0.0.0    NetworkS...
Function        Disable-OdbcPerfCounter                            1.0.0.0    Wdac       
Function        Disable-PhysicalDiskIdentification                 2.0.0.0    Storage    
Function        Disable-PnpDevice                                  1.0.0.0    PnpDevice  
Function        Disable-PSTrace                                    1.0.0.0    PSDiagno...
Function        Disable-PSWSManCombinedTrace                       1.0.0.0    PSDiagno...
Function        Disable-ScheduledTask                              1.0.0.0    Schedule...
Function        Disable-SmbDelegation                              2.0.0.0    SmbShare   
Function        Disable-StorageBusCache                            1.0.0.0    StorageB...
Function        Disable-StorageBusDisk                             1.0.0.0    StorageB...
Function        Disable-StorageEnclosureIdentification             2.0.0.0    Storage    
Function        Disable-StorageEnclosurePower                      2.0.0.0    Storage    
Function        Disable-StorageHighAvailability                    2.0.0.0    Storage    
Function        Disable-StorageMaintenanceMode                     2.0.0.0    Storage    
Function        Disable-WdacBidTrace                               1.0.0.0    Wdac       
Function        Disable-WSManTrace                                 1.0.0.0    PSDiagno...
Function        Disconnect-IscsiTarget                             1.0.0.0    iSCSI      
Function        Disconnect-VirtualDisk                             2.0.0.0    Storage    
Function        Dismount-DiskImage                                 2.0.0.0    Storage    
Function        E:                                                                       
Function        Enable-BitLocker                                   1.0.0.0    BitLocker  
Function        Enable-BitLockerAutoUnlock                         1.0.0.0    BitLocker  
Function        Enable-DAManualEntryPointSelection                 1.0.0.0    DirectAc...
Function        Enable-DscDebug                                    1.1        PSDesire...
Function        Enable-MMAgent                                     1.0        MMAgent    
Function        Enable-NetAdapter                                  2.0.0.0    NetAdapter 
Function        Enable-NetAdapterBinding                           2.0.0.0    NetAdapter 
Function        Enable-NetAdapterChecksumOffload                   2.0.0.0    NetAdapter 
Function        Enable-NetAdapterEncapsulatedPacketTaskOffload     2.0.0.0    NetAdapter 
Function        Enable-NetAdapterIPsecOffload                      2.0.0.0    NetAdapter 
Function        Enable-NetAdapterLso                               2.0.0.0    NetAdapter 
Function        Enable-NetAdapterPacketDirect                      2.0.0.0    NetAdapter 
Function        Enable-NetAdapterPowerManagement                   2.0.0.0    NetAdapter 
Function        Enable-NetAdapterQos                               2.0.0.0    NetAdapter 
Function        Enable-NetAdapterRdma                              2.0.0.0    NetAdapter 
Function        Enable-NetAdapterRsc                               2.0.0.0    NetAdapter 
Function        Enable-NetAdapterRss                               2.0.0.0    NetAdapter 
Function        Enable-NetAdapterSriov                             2.0.0.0    NetAdapter 
Function        Enable-NetAdapterVmq                               2.0.0.0    NetAdapter 
Function        Enable-NetDnsTransitionConfiguration               1.0.0.0    NetworkT...
Function        Enable-NetFirewallRule                             2.0.0.0    NetSecurity
Function        Enable-NetIPHttpsProfile                           1.0.0.0    NetworkT...
Function        Enable-NetIPsecMainModeRule                        2.0.0.0    NetSecurity
Function        Enable-NetIPsecRule                                2.0.0.0    NetSecurity
Function        Enable-NetNatTransitionConfiguration               1.0.0.0    NetworkT...
Function        Enable-NetworkSwitchEthernetPort                   1.0.0.0    NetworkS...
Function        Enable-NetworkSwitchFeature                        1.0.0.0    NetworkS...
Function        Enable-NetworkSwitchVlan                           1.0.0.0    NetworkS...
Function        Enable-OdbcPerfCounter                             1.0.0.0    Wdac       
Function        Enable-PhysicalDiskIdentification                  2.0.0.0    Storage    
Function        Enable-PnpDevice                                   1.0.0.0    PnpDevice  
Function        Enable-PSTrace                                     1.0.0.0    PSDiagno...
Function        Enable-PSWSManCombinedTrace                        1.0.0.0    PSDiagno...
Function        Enable-ScheduledTask                               1.0.0.0    Schedule...
Function        Enable-SmbDelegation                               2.0.0.0    SmbShare   
Function        Enable-StorageBusCache                             1.0.0.0    StorageB...
Function        Enable-StorageBusDisk                              1.0.0.0    StorageB...
Function        Enable-StorageEnclosureIdentification              2.0.0.0    Storage    
Function        Enable-StorageEnclosurePower                       2.0.0.0    Storage    
Function        Enable-StorageHighAvailability                     2.0.0.0    Storage    
Function        Enable-StorageMaintenanceMode                      2.0.0.0    Storage    
Function        Enable-WdacBidTrace                                1.0.0.0    Wdac       
Function        Enable-WSManTrace                                  1.0.0.0    PSDiagno...
Function        Expand-Archive                                     1.0.1.0    Microsof...
Function        Export-ODataEndpointProxy                          1.0        Microsof...
Function        Export-ScheduledTask                               1.0.0.0    Schedule...
Function        F:                                                                       
Function        Find-Command                                       1.0.0.1    PowerShe...
Function        Find-DscResource                                   1.0.0.1    PowerShe...
Function        Find-Module                                        1.0.0.1    PowerShe...
Function        Find-NetIPsecRule                                  2.0.0.0    NetSecurity
Function        Find-NetRoute                                      1.0.0.0    NetTCPIP   
Function        Find-RoleCapability                                1.0.0.1    PowerShe...
Function        Find-Script                                        1.0.0.1    PowerShe...
Function        Flush-EtwTraceSession                              1.0.0.0    EventTra...
Function        Format-Hex                                         3.1.0.0    Microsof...
Function        Format-Volume                                      2.0.0.0    Storage    
Function        G:                                                                       
Function        Get-AppBackgroundTask                              1.0.0.0    AppBackg...
Function        Get-AppxLastError                                  2.0.1.0    Appx       
Function        Get-AppxLog                                        2.0.1.0    Appx       
Function        Get-AutologgerConfig                               1.0.0.0    EventTra...
Function        Get-BitLockerVolume                                1.0.0.0    BitLocker  
Function        Get-ClusteredScheduledTask                         1.0.0.0    Schedule...
Function        Get-DAClientExperienceConfiguration                1.0.0.0    DirectAc...
Function        Get-DAConnectionStatus                             1.0.0.0    NetworkC...
Function        Get-DAEntryPointTableItem                          1.0.0.0    DirectAc...
Function        Get-DedupProperties                                2.0.0.0    Storage    
Function        Get-Disk                                           2.0.0.0    Storage    
Function        Get-DiskImage                                      2.0.0.0    Storage    
Function        Get-DiskStorageNodeView                            2.0.0.0    Storage    
Function        Get-DnsClient                                      1.0.0.0    DnsClient  
Function        Get-DnsClientCache                                 1.0.0.0    DnsClient  
Function        Get-DnsClientGlobalSetting                         1.0.0.0    DnsClient  
Function        Get-DnsClientNrptGlobal                            1.0.0.0    DnsClient  
Function        Get-DnsClientNrptPolicy                            1.0.0.0    DnsClient  
Function        Get-DnsClientNrptRule                              1.0.0.0    DnsClient  
Function        Get-DnsClientServerAddress                         1.0.0.0    DnsClient  
Function        Get-DscConfiguration                               1.1        PSDesire...
Function        Get-DscConfigurationStatus                         1.1        PSDesire...
Function        Get-DscLocalConfigurationManager                   1.1        PSDesire...
Function        Get-DscResource                                    1.1        PSDesire...
Function        Get-Dtc                                            1.0.0.0    MsDtc      
Function        Get-DtcAdvancedHostSetting                         1.0.0.0    MsDtc      
Function        Get-DtcAdvancedSetting                             1.0.0.0    MsDtc      
Function        Get-DtcClusterDefault                              1.0.0.0    MsDtc      
Function        Get-DtcClusterTMMapping                            1.0.0.0    MsDtc      
Function        Get-DtcDefault                                     1.0.0.0    MsDtc      
Function        Get-DtcLog                                         1.0.0.0    MsDtc      
